Rank,Candidate,Similarity_Score,File,Job_Description,Skills,Skill_Count
31,Iqra Chaudhry Data Scientist 1,1.0802559992591292,Iqra_Chaudhry_Data_Scientist_1.pdf,Uiux Designer Jd,"tensorflow, machine learning, deep learning, data science",4
32,Waqas Malik Data Scientist 4,1.0639402827587425,Waqas_Malik_Data_Scientist_4.pdf,Uiux Designer Jd,"python, tensorflow, nlp, data science, aws",5
33,Junaid Sheikh Backend Developer 6,1.0552005569251237,Junaid_Sheikh_Backend_Developer_6.pdf,Uiux Designer Jd,"python, django, sql, postgresql, redis",10
34,Junaid Awan Data Scientist 2,1.0225606692526115,Junaid_Awan_Data_Scientist_2.pdf,Uiux Designer Jd,"python, machine learning, deep learning, data science, aws",5
35,Usman Hussain Data Scientist 5,1.01826334117914,Usman_Hussain_Data_Scientist_5.pdf,Uiux Designer Jd,"machine learning, deep learning, data science",3
36,Waqas Butt Mern Developer 5,0.8845728243127158,Waqas_Butt_MERN_Developer_5.pdf,Uiux Designer Jd,"java, javascript, react, mongodb, html",8
37,Usman Khan Mern Developer 1,0.8758176139595998,Usman_Khan_MERN_Developer_1.pdf,Uiux Designer Jd,"react, node, mongodb, git, html",7
38,Laiba Hussain Mern Developer 6,0.8721617984999147,Laiba_Hussain_MERN_Developer_6.pdf,Uiux Designer Jd,"java, javascript, react, node, machine learning",10
39,Mariam Javed Mern Developer 2,0.8644930511765112,Mariam_Javed_MERN_Developer_2.pdf,Uiux Designer Jd,"java, javascript, react, node, mongodb",11
40,Adeel Malik Data Scientist 6,0.8150104128881205,Adeel_Malik_Data_Scientist_6.pdf,Uiux Designer Jd,"python, tensorflow, machine learning, deep learning, nlp",6
