Rank,Candidate,Similarity_Score,File,Job_Description,Skills,Skill_Count
31,Faisal Javed Uiux Designer 1,2.091986191847149,Faisal_Javed_UIUX_Designer_1.pdf,Mern Developer Jd,,0
32,Komal Raza Uiux Designer 6,1.7133402964321123,Komal_Raza_UIUX_Designer_6.pdf,Mern Developer Jd,,0
33,Kashif Iqbal Data Scientist 7,1.5387873730864687,Kashif_Iqbal_Data_Scientist_7.pdf,Mern Developer Jd,"python, tensorflow, machine learning, nlp, sql",5
34,Faisal Hussain Data Scientist 3,1.516133331514455,Faisal_Hussain_Data_Scientist_3.pdf,Mern Developer Jd,"python, tensorflow, machine learning, nlp, sql",5
35,Tariq Qureshi Data Scientist 8,1.4045520335926807,Tariq_Qureshi_Data_Scientist_8.pdf,Mern Developer Jd,"machine learning, deep learning, nlp, sql, go",5
36,Iqra Chaudhry Data Scientist 1,1.1101564412559735,Iqra_Chaudhry_Data_Scientist_1.pdf,Mern Developer Jd,"tensorflow, machine learning, deep learning, data science",4
37,Waqas Malik Data Scientist 4,1.093389121491924,Waqas_Malik_Data_Scientist_4.pdf,Mern Developer Jd,"python, tensorflow, nlp, data science, aws",5
38,Junaid Awan Data Scientist 2,1.050864160277157,Junaid_Awan_Data_Scientist_2.pdf,Mern Developer Jd,"python, machine learning, deep learning, data science, aws",5
39,Usman Hussain Data Scientist 5,1.04644788631596,Usman_Hussain_Data_Scientist_5.pdf,Mern Developer Jd,"machine learning, deep learning, data science",3
40,Adeel Malik Data Scientist 6,0.8375691134129016,Adeel_Malik_Data_Scientist_6.pdf,Mern Developer Jd,"python, tensorflow, machine learning, deep learning, nlp",6
